ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,res,oxd
pdb3n9b,7,8,8,7,8,1,2.174399375915528,2.194122791290283,2.2180709838867188,2.3128676414489746,2.488898038864136,10.0,1.92,2
pdb3n9b,7,8,7,8,8,1,2.152161836624145,2.163922071456909,2.19626259803772,2.318620681762696,2.325804710388184,10.0,1.92,2
pdb4r42,8,8,8,7,8,1,2.052234649658203,2.145751714706421,2.185814142227173,2.2733154296875,2.397237062454224,10.0,1.9,2
pdb4r42,8,8,8,8,7,8,2.075249433517456,2.096139907836914,2.213266134262085,2.267646789550781,2.297154426574707,2.32625675201416,1.9,2
pdb4r42,8,8,8,7,8,1,2.069942235946656,2.1042590141296387,2.199744701385498,2.271700620651245,2.4232594966888428,10.0,1.9,2
pdb4r42,8,8,8,7,8,8,2.068788528442383,2.15554141998291,2.255650520324707,2.278986692428589,2.279527187347412,2.320433616638184,1.9,2
pdb4r42,8,8,8,7,8,8,2.0546226501464844,2.0891945362091064,2.2261083126068115,2.2653775215148926,2.3620352745056152,2.4652881622314453,1.9,2
pdb4r42,8,8,8,8,8,7,2.0568504333496094,2.1110520362854004,2.1739625930786133,2.1844730377197266,2.24087905883789,2.330602169036865,1.9,2
pdb1zip,8,8,8,8,8,8,2.056908369064331,2.1263349056243896,2.141394853591919,2.2363970279693604,2.306028127670288,2.34021258354187,1.85,2
pdb4n7t,8,8,7,8,1,1,2.016937732696533,2.0742347240448,2.108275890350342,2.3750619888305664,10.0,10.0,2.0,2
pdb4n7t,7,8,7,8,8,1,2.007838249206543,2.032827854156494,2.137417793273926,2.188995838165283,2.355316638946533,10.0,2.0,2
pdb4n7t,8,8,7,8,1,1,1.9839507341384888,2.0331313610076904,2.135218381881714,2.454066038131714,10.0,10.0,2.0,3
pdb4n7t,8,7,7,8,8,1,1.9959099292755127,2.080568313598633,2.102394819259644,2.4573843479156494,2.4944632053375244,10.0,2.0,2
pdb4y6s,8,8,8,8,8,1,2.139366388320923,2.147364377975464,2.1516659259796143,2.15226411819458,2.1825621128082275,10.0,2.1,2
pdb4y6s,8,8,8,8,8,1,2.12959623336792,2.139469146728516,2.141176223754883,2.1466586589813232,2.17625379562378,10.0,2.1,2
pdb4eeg,8,8,7,8,1,1,2.107409238815308,2.1862053871154785,2.284959554672241,2.3291549682617188,10.0,10.0,2.2,2
