ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,oxd
GAZVAG.Cu(ii).pdb,O,O,N,N,O,NE,1.912257194519043,1.9606071710586548,2.002448558807373,2.0086936950683594,2.3992159366607666,100.0,2
VUBNIP.Cu(ii).pdb,O,O,O,O,O,O,1.9482251405715942,1.9482251405715942,1.9608185291290283,1.9608185291290283,2.467798948287964,2.467798948287964,2
LICBUX.Cu(ii).pdb,N,N,BR,BR,NE,NE,2.0085501670837402,2.008552312850952,2.4342195987701416,2.4348113536834717,100.0,100.0,2
XAVDOR.Cu(ii).pdb,N,N,N,N,NE,NE,2.008897304534912,2.0091452598571777,2.4141862392425537,2.414677381515503,100.0,100.0,2
ABOSES.Cu(ii).pdb,N,N,N,N,NE,NE,1.9355065822601318,1.9363287687301636,2.051018238067627,2.0515215396881104,100.0,100.0,2
BIWRUX.Cu(ii).pdb,N,N,NE,NE,NE,NE,2.0581061840057373,2.0626797676086426,100.0,100.0,100.0,100.0,2
OFOJOJ.Cu(ii).pdb,O,N,O,NE,NE,NE,1.9360548257827759,1.9746882915496826,2.353574514389038,100.0,100.0,100.0,2
DUKCAO.Cu(ii).pdb,N,N,N,N,NE,NE,1.93720543384552,1.9588141441345215,2.033769369125366,2.072147846221924,100.0,100.0,2
DODDOP.Cu(ii).pdb,O,O,O,O,O,O,1.9390714168548584,1.9390714168548584,1.9976345300674438,1.9976345300674438,2.4127371311187744,2.4127371311187744,2
NEJFAM.Cu(ii).pdb,N,N,N,N,O,NE,2.0096771717071533,2.0096774101257324,2.105135440826416,2.105224132537842,2.2250003814697266,100.0,2
XAJTOT.Cu(ii).pdb,O,O,O,O,NE,NE,1.8936647176742554,1.8936647176742554,1.8974461555480957,1.8974461555480957,100.0,100.0,2
BUJFOC.Cu(ii).pdb,O,N,N,N,O,NE,1.941899061203003,1.9826287031173706,2.0062475204467773,2.0138092041015625,2.337306261062622,100.0,2
XUHMES.Cu(ii).pdb,N,N,,,NE,NE,1.988292932510376,1.988292932510376,2.2667133808135986,2.266713857650757,100.0,100.0,2
HBIMCU01.Cu(ii).pdb,N,N,O,O,O,O,1.9477919340133667,1.9525188207626343,2.033414125442505,2.0385849475860596,2.281487464904785,2.4927890300750732,2
