ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,res,oxd
pdb4ket,8,8,7,7,1,1,1.7717053890228271,1.8917250633239744,1.9149470329284668,1.917672634124756,10.0,10.0,2.0,2
pdb3bnl,7,7,7,7,7,7,1.908427596092224,1.9467405080795288,1.9496955871582031,1.953736424446106,1.963150978088379,1.9651082754135127,2.6,3
pdb3bnl,7,7,7,7,7,7,1.9097309112548828,1.9511860609054563,1.951748371124268,1.952236294746399,1.9692645072937007,1.972355842590332,2.6,3
pdb3bnl,7,7,7,7,7,7,1.9134366512298584,1.948504090309143,1.9492409229278564,1.953778982162476,1.9703967571258545,1.9725093841552728,2.6,3
pdb3bnl,7,7,7,7,7,7,1.909543514251709,1.944326877593994,1.9481385946273804,1.950129032135009,1.9727630615234373,1.9798381328582764,2.6,3
pdb3bnl,7,7,7,7,7,7,1.9066165685653689,1.94287383556366,1.9454444646835327,1.949159383773804,1.9617424011230469,1.962366342544556,2.6,3
pdb3bnl,7,7,7,7,7,7,1.9108771085739136,1.9491490125656128,1.9505256414413448,1.953766703605652,1.972498893737793,1.9728522300720213,2.6,3
pdb3bnl,7,7,7,7,7,7,1.911563873291016,1.950156569480896,1.950822234153748,1.952662467956543,1.9723985195159912,1.9757015705108645,2.6,3
pdb3bnl,7,7,7,7,7,7,1.9115029573440552,1.9418015480041504,1.9483678340911863,1.949479341506958,1.9687811136245728,1.978165626525879,2.6,3
pdb2fqt,7,7,8,8,16,1,2.064995765686035,2.0660972595214844,2.216269016265869,2.322549104690552,2.349900245666504,10.0,1.79,2
pdb4ur3,7,7,7,7,8,1,1.8767569065094,1.8911221027374268,1.9176363945007324,1.9190735816955569,2.1758761405944824,10.0,2.24,2
pdb4ur3,7,7,7,7,8,1,1.8803664445877075,1.8912969827651973,1.9172037839889529,1.9206260442733765,2.262632131576538,10.0,2.24,2
pdb4ur3,7,7,7,7,1,1,1.881581425666809,1.8903650045394893,1.916715145111084,1.9190938472747805,10.0,10.0,2.24,2
pdb4ur3,7,7,7,7,8,1,1.88050377368927,1.890251636505127,1.9167028665542605,1.9210776090621948,2.2498817443847656,10.0,2.24,2
pdb4ur3,7,7,7,7,8,1,1.877578496932984,1.89020586013794,1.918355941772461,1.918511748313904,2.2179205417633057,10.0,2.24,2
pdb4ur3,7,7,7,7,1,1,1.8793907165527344,1.89096748828888,1.916451096534729,1.919755458831787,10.0,10.0,2.24,2
pdb2wj0,7,7,7,7,7,7,1.9783364534378047,1.9822070598602293,1.9828263521194456,1.9838136434555047,1.985577821731568,1.986358880996704,3.1,3
pdb6ch0,8,8,7,7,8,1,1.898033142089844,1.992990493774414,2.115609645843506,2.153536319732666,2.35479736328125,10.0,2.15,2
pdb6ch0,8,8,7,7,7,1,1.905846357345581,1.9187105894088743,2.09053111076355,2.109588623046875,2.178083896636963,10.0,2.15,2
