ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,oxd
TIQSOC.Fe(ii).pdb,O,O,O,O,N,N,2.075462818145752,2.1307077407836914,2.1639316082000732,2.2114317417144775,2.2787187099456787,2.346435785293579,2
AXESUR.Fe(ii).pdb,C,C,C,C,C,C,1.9484461545944214,1.9704433679580688,2.0165817737579346,2.0371317863464355,2.0627942085266113,2.0730302333831787,2
AXESUR.Fe(ii).pdb,C,C,C,C,C,C,2.0032949447631836,2.0047669410705566,2.01139235496521,2.028103828430176,2.028611898422241,2.0382115840911865,2
AXESUR.Fe(ii).pdb,C,C,C,C,C,C,1.9480658769607544,1.9701781272888184,2.0164854526519775,2.0369668006896973,2.0619571208953857,2.071925163269043,2
AXESUR.Fe(ii).pdb,C,C,C,C,C,C,2.0032949447631836,2.0047669410705566,2.01139235496521,2.028103828430176,2.028611898422241,2.0382115840911865,2
SUYGAV.Fe(ii).pdb,C,C,C,C,C,C,2.039391040802002,2.039724111557007,2.046795129776001,2.0470714569091797,2.0472676753997803,2.0543763637542725,2
AHOBOP.Fe(ii).pdb,N,N,CL,N,CL,NE,2.1673479080200195,2.2243363857269287,2.2651560306549072,2.266303062438965,2.3249592781066895,100.0,2
AGUYUW.Fe(ii).pdb,N,N,N,N,O,O,2.0869436264038086,2.0878970623016357,2.094863176345825,2.095594882965088,2.149991750717163,2.150629997253418,2
LEHCIM.Fe(ii).pdb,N,N,O,O,O,O,2.0806405544281006,2.0973222255706787,2.0999128818511963,2.1062262058258057,2.257167339324951,2.2704966068267822,2
LEHCIM.Fe(ii).pdb,N,N,O,O,O,O,2.080620527267456,2.097322702407837,2.0985512733459473,2.106114387512207,2.258021116256714,2.2711730003356934,2
SAKYOU01.Fe(ii).pdb,N,N,N,N,N,N,1.9491130113601685,1.9514840841293335,1.9740967750549316,1.977995753288269,1.9869952201843262,1.998335838317871,2
SAKYOU01.Fe(ii).pdb,N,N,N,N,N,N,1.798566460609436,1.9491127729415894,1.95183527469635,1.9740967750549316,1.977258324623108,1.9871740341186523,2
LERKIC01.Fe(ii).pdb,O,O,NE,NE,NE,NE,2.134410858154297,2.223189353942871,100.0,100.0,100.0,100.0,2
LERKIC01.Fe(ii).pdb,O,O,O,O,O,O,2.058560848236084,2.059135675430298,2.118252992630005,2.1188719272613525,2.2368128299713135,2.236910343170166,2
LERKIC01.Fe(ii).pdb,O,O,O,O,O,NE,2.0425195693969727,2.0566298961639404,2.1299121379852295,2.134410858154297,2.223189353942871,100.0,2
LERKIC01.Fe(ii).pdb,NE,NE,NE,NE,NE,NE,100.0,100.0,100.0,100.0,100.0,100.0,2
BAZXIK.Fe(ii).pdb,C,C,C,C,C,C,2.0235650539398193,2.0417566299438477,2.0420286655426025,2.0455334186553955,2.0458102226257324,2.0464236736297607,2
