ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,oxd
RERZIZ.Co(ii).pdb,O,O,N,N,O,O,2.028561592102051,2.0290465354919434,2.095376968383789,2.096020460128784,2.1953611373901367,2.195361375808716,2
JANGIR.Co(ii).pdb,N,N,N,N,N,N,2.110546350479126,2.1110599040985107,2.1191749572753906,2.1195337772369385,2.126652240753174,2.1272294521331787,2
TIFCAP.Co(ii).pdb,N,N,N,N,NE,NE,1.9632108211517334,1.96345853805542,1.971701979637146,1.9723069667816162,100.0,100.0,2
WUDYAW.Co(ii).pdb,O,N,N,NE,NE,NE,2.112785816192627,2.15738582611084,2.157881021499634,100.0,100.0,100.0,2
GIYDAU.Co(ii).pdb,O,O,O,O,O,O,2.0409457683563232,2.0409460067749023,2.093661069869995,2.093661069869995,2.0978143215179443,2.0978145599365234,2
CUFPAW.Co(ii).pdb,O,O,N,O,N,O,2.050917863845825,2.0633163452148438,2.1110267639160156,2.1141932010650635,2.115171432495117,2.1831889152526855,2
TUHJAK.Co(ii).pdb,N,N,N,N,NE,NE,1.911208152770996,2.0080201625823975,2.0236217975616455,2.032996416091919,100.0,100.0,2
ELILOC.Co(ii).pdb,O,N,O,N,N,O,2.0231900215148926,2.065141201019287,2.071176528930664,2.1910555362701416,2.203505277633667,2.3793141841888428,2
JAJVAR.Co(ii).pdb,N,N,N,N,N,N,2.101531982421875,2.1021010875701904,2.1641483306884766,2.164982795715332,2.1706719398498535,2.1707119941711426,2
SINSUD07.Co(ii).pdb,CL,CL,CL,CL,NE,NE,2.2596709728240967,2.2666211128234863,2.2768728733062744,2.2884349822998047,100.0,100.0,2
HUSGAD.Co(ii).pdb,N,N,N,N,NE,NE,1.962906837463379,1.9678102731704712,2.027702569961548,2.031325101852417,100.0,100.0,2
YIPHIP.Co(ii).pdb,N,O,O,N,NE,NE,1.9540742635726929,1.954447865486145,1.9548835754394531,1.954980492591858,100.0,100.0,2
XEWYEG.Co(ii).pdb,O,O,O,O,O,CL,1.9947420358657837,1.998773455619812,2.1437010765075684,2.2483956813812256,2.325579881668091,2.3690733909606934,2
SECXAA.Co(ii).pdb,O,O,O,O,N,N,2.09354305267334,2.0941123962402344,2.1036903858184814,2.1036906242370605,2.126999855041504,2.1410000324249268,2
JIWTUE.Co(ii).pdb,N,N,N,N,N,N,2.139202833175659,2.1394689083099365,2.180598497390747,2.1818721294403076,2.189763307571411,2.1904783248901367,2
ELAVUI.Co(ii).pdb,O,O,N,N,N,N,2.0747406482696533,2.0749034881591797,2.1322600841522217,2.1332204341888428,2.1388118267059326,2.1397523880004883,2
